document_id,verb_type,verb,coreference_type,context,pronominalization
mz/sinorama/10/ectb_1029,subject_biased,attract,subject,"Of these , DR. Chip attracted much attention this year when it developed a chip to detect enteroviruses , a deadly epidemic of which has gripped Taiwan over the last two years .//Fever chips",pronoun
mz/sinorama/10/ectb_1019,object_biased,pick,other,"For instance , when you see that a hair has fallen onto a female friend 's shoulder , you should lightly pick it off for her , and throw it away or put it in your pocket .//If sincere , this kind of action is attractive in a man .",other
mz/sinorama/10/ectb_1009,object_biased,employ,subject,"The Pouchen shoe plant , Dongguan 's largest , employs 100,000 .//The compound has a nursery , hospital and an operating room .",non pronoun
bc/cctv/00/cctv_0005,subject_biased,call,other,"The station called me at noon and said something happened at Jingguang Bridge and that I had to go to the station immediately to research the upcoming program .//Uh-huh , that means , er , you found out the accident through an information source at the station .",other
bc/phoenix/00/phoenix_0003,object_biased,carry,other,"He just carried him like that without saying a word .//When the doctor in the town took a look and told him that they were unable to cure the sickness , he carried the child to the county .",other
bc/phoenix/00/phoenix_0003,object_biased,dislike,subject,"If he could receive many , such encouragements , he would not have um , um , disliked school sometimes .//He does not want to go to school now .",pronoun
bc/phoenix/00/phoenix_0003,object_biased,envy,subject,"Ah , I envy them .//So , I also , want to be able to turn to comfort in my parents ' arms .",pronoun
bc/phoenix/00/phoenix_0003,object_biased,envy,other,I envied them very much .//That was when I missed my mother the most .,other
bc/cnn/00/cnn_0008,object_biased,appreciate,other,We appreciate it /.//Ahead in the second half of Reliable Sources New York Times columnist Tom Friedman on whether the media are suffering from Iraq fatigue /.,other
bc/cnn/00/cnn_0008,subject_biased,call,other,Are we calling them on that /?//Right I do n't think enough because there 's been a lot of happy talk around this Howie basically /.,other
bc/cnn/00/cnn_0008,object_biased,appreciate,subject,But they never never appreciated how difficult it was /.//They never prepared the army or the American people for how difficult it was /.,pronoun
bc/cnn/00/cnn_0008,object_biased,notice,other,but for the first couple days I noticed it was n't that much of a television story /.//and the reason was no pictures no video /.,other
bc/cnn/00/cnn_0008,subject_biased,concern,object,The threat concerns the New York City subway system behind me around me literally beneath our feet here in Times Square /.//The Fox News alert New York City subways are on a heightened state of alert this evening after what officials are describing as a specific threat /.,non pronoun
bc/msnbc/00/msnbc_0007,object_biased,loathe,subject,I loathe Kim Jong - Il /.//I got a visceral reaction to this guy /.,pronoun
wb/eng/00/eng_0009,object_biased,appreciate,other,I appreciate your candor and your capacity to build a knowledge base with each contributor adding to the thread that moves me in a sonambulant noiseless rush toward the truth .//We are living the dieing,other
