document_id,verb_type,verb,coreference_type,context,pronominalization
mz/sinorama/10/ectb_1039,source_goal,show,source,"According to DPP lawmaker Lin Cho - shui , Chen Shui - bian has shown more goodwill to Beijing as president than Lee Teng - hui ever did , but without any response -//so why should he once again be expected to respond on the "" one China "" issue ?",pronoun
mz/sinorama/10/ectb_1059,source_goal,bring,other,"Will this bring more prosperity to the area ?//Construction of a bypass around the town has already boosted property values , but what other benefits may it bring ?",other
mz/sinorama/10/ectb_1009,goal_source,take,other,"TBAD takes issue with this view .//H.D. Yeh points out that in 1998 Taiwan had an overall trade surplus of US$ 5.9 billion , and a surplus of US$ 12.76 billion with mainland China .",other
mz/sinorama/10/ectb_1009,source_goal,throw,theme,It threw him for a loop .//Yeh is still trying to figure out what the mainland authorities think of TBAD .,theme
bc/cctv/00/cctv_0005,goal_source,receive,other,"After that , I received an SMS from 1860 .//Uh-huh , it was through an SMS .",other
bc/cctv/00/cctv_0005,source_goal,send,other,"After it , er , received this order from the municipal government , it immediately sent , electric heaters to residents in more than 200 households within this area .//It should be said that many residents spent quite a warm night at home yesterday .",other
bc/msnbc/00/msnbc_0007,source_goal,bring,other,and you bring them to the bargaining table /.//Our policy right now does not work /.,other
bc/msnbc/00/msnbc_0007,goal_source,catch,other,We caught them cheating /.//You might make another deal /.,other
bc/msnbc/00/msnbc_0007,goal_source,get,other,he gets the nuclear inspectors out in two thousand and two /.//This is the way he operates /.,other
wb/eng/00/eng_0009,goal_source,buy,other,"The Fellowship , also known as the International Foundation , bought the property from Charles Piluso .//Although not much is known about Piluso , the Los Angeles Times reported that Howard Hughes , the man with whom Fellowship Senator Ralph Owen Brewster once sparred , also lived there .",other
wb/a2e/00/a2e_0019,goal_source,hear,other,"I myself heard from some people who were in Iraq about the things that Saddam Hussein used to do , and could not be reasonably done by anyone other than a good Moslem To the extent that many said of his actions that they were only to gain favor amongst the Sunnis and the religious .//But we judge by the appearances and his end was in line with the appearance .",other
tc/ch/00/ch_0009,goal_source,get,other,"And I got a card from ,//you remember Amy Gleason ?",other
tc/ch/00/ch_0009,goal_source,get,goal,and %um You know ages ago I got a card from Liz Gana .//I told you this .,pronoun
tc/ch/00/ch_0029,goal_source,hear,other,"but you know you 've heard the saying I 'm sure from your grandmother//the sins of your parents will be waged back at you , %hm . you know ,",other
