subject_id,condition,text,referents,prompt,relation,connective,itemID,stimulusID,annotated_nm,response,pronominalization
7897934,LIST6,"Mr. Brady was quickly on the phone with Mr. Mullins, who in turn was talking with the chairmen of the New York and Chicago exchanges. However,","[""Mr. Brady"",""Mr. Mullins""]",bare,Contrast,varied,5.0,16.0,3,the current stock market crash was bad,non_pro
7897934,LIST6,Peter continued talking with Charlie. So he,"[""Peter"",""Charlie""]",pronoun,Result,varied,25.0,114.0,0,can change his mind,pro
7897934,LIST6,William was afraid and refused to kill Saul. So,"[""William"",""Saul""]",bare,Result,original,30.0,78.0,0,as he wasn't able,pro
7897934,LIST6,"In 1975, Mr. Pamplin enticed Mr. Hahn into joining the company as executive vice president in charge of chemicals; the move befuddled many in Georgia-Pacific who didn't believe a university administrator could make the transition to the corporate world. So he","[""Mr. Pamplin"",""Mr. Hahn""]",pronoun,Result,varied,20.0,119.0,0,proved them wrong,pro
7897934,LIST6,"Benjamin Netanyahu has recently moved ahead of Ehud Barak in popularity polls. Afterwards,","[""Benjamin Netanyahu"",""Ehud Barak""]",bare,Narration,varied,13.0,31.0,3,he thank his voters,pro
7897934,LIST6,"David had just let Leo leave in peace. Next, he","[""David"",""Leo""]",pronoun,Narration,varied,14.0,175.0,0,wished him well,pro
7897934,LIST6,"Senior U.S official James O'Brien will hold talks, probably behind closed doors, with President Vojislav Kostunica. However,","[""Senoir U.S. official James O'Brien"",""President Vojislav Kostunica""]",bare,Contrast,varied,28.0,57.0,3,a small number of press will attend,non_pro
7897934,LIST6,"Mark Felt sends this memo to the acting FBI director Al Patrick Grey. However, he","[""Mark Felt"",""the acting FBI director Al Patrick Grey.""]",pronoun,Contrast,varied,4.0,93.0,0,regretted it afterwards ,pro
7897934,LIST6,David was moving as quickly as possible to get away from Saul. But,"[""David"",""Saul""]",bare,Contrast,original,15.0,52.0,1,Saul was too quick,non_pro
7897934,LIST6,Joseph served Nicolas for three years. But he,"[""Joseph"",""Nicolas""]",pronoun,Contrast,varied,6.0,124.0,0,then took over from Nicolas,pro
7897934,LIST6,"Jose gave the silver and the gold to Peter. After that,","[""Jose"",""Peter""]",bare,Narration,varied,24.0,62.0,0,he gave the bronze to himself,pro
