,index,subject_id,condition,referents,relation,connective,itemID,stimulusID,prompt,text,response,pronominalization,annotated_nm,Annotator1,Annotator2,Final,Annotator1=Annotator2
0,11.0,7897934.0,LIST6,"[""Senate Majority Leader George Mitchell (D-Maine)"",""the president""]",Occasion,varied,10.0,134.0,pronoun,"Senate Majority Leader George Mitchell (D-Maine), who has been the most prominent Democratic critic of Mr. Bush's handling of the Soviet relationship, praised the president for arranging the meeting. After that, he",attended the meeting,pro,0.0,T,T,T,True
1,21.0,7897934.0,LIST6,"[""The Iran - Contra judge Harold H. Greene"",""Mr. Poindexter""]",Contrast,original,29.0,129.0,pronoun,"The Iran-Contra judge Harold H. Greene agreed to allow Mr. Poindexter to subpoena the personal papers of ex-President Reagan, ruling that there was sufficient evidence that the data would be important to the defense. But he",knew it was a gamble,pro,0.0,T,T,T,True
2,26.0,7897934.0,LIST6,"[""Charles"",""Thomas""]",Contrast,varied,7.0,21.0,free,"Charles got up, left everything, and followed Thomas. However,",Thomas ran off,non_pro,1.0,T,T,T,True
3,36.0,11183880.0,LIST3,"[""Felix"",""Paul""]",Contrast,varied,16.0,147.0,free,Felix made a sign for Paul to speak. But,paul didnt get the chance,non_pro,1.0,T,T,T,True
4,40.0,11183880.0,LIST3,"[""Peter"",""Charlie""]",Contrast,varied,25.0,39.0,free,"Peter continued talking with Charlie. However,",charlie wasnt listening,non_pro,1.0,T,T,T,True
5,51.0,11183880.0,LIST3,"[""Benjamin Netanyahu"",""Ehud Barak""]",Contrast,original,13.0,70.0,pronoun,"Benjamin Netanyahu has recently moved ahead of Ehud Barak in popularity polls. However, he",still lacks the 18-30 votes,pro,0.0,T,T,T,True
6,57.0,11183880.0,LIST3,"[""Peter"",""Jeffery""]",Occasion,varied,26.0,116.0,pronoun,Peter criticized Jeffery for saying these things. Then he,angrily walked off,pro,0.0,T,T,T,True
7,61.0,11424845.0,LIST3,"[""William"",""Saul""]",Occasion,varied,30.0,152.0,pronoun,"William was afraid and refused to kill Saul. Shortly afterwards, he",killed himself,pro,0.0,T,T,T,True
8,81.0,11424845.0,LIST3,"[""Peter"",""Jeffery""]",Occasion,varied,26.0,116.0,pronoun,Peter criticized Jeffery for saying these things. Then he,stomped away,pro,0.0,T,T,T,True
9,94.0,11378978.0,LIST2,"[""William"",""Saul""]",Occasion,varied,30.0,151.0,free,"William was afraid and refused to kill Saul. Shortly afterwards,",he found the courage.,pro,0.0,T,T,T,True
10,130.0,2032687.0,LIST3,"[""President Clinton"",""the Crown Prince""]",Occasion,varied,27.0,121.0,free,"President Clinton at that meeting did press the Crown Prince to cooperate with the FBI. Later,",he found out that the Crown Prince had done so.,pro,0.0,T,T,T,True
11,160.0,315014.0,LIST2,"[""Mr. Brady"",""Mr. Mullins""]",Result,varied,5.0,23.0,free,"Mr. Brady was quickly on the phone with Mr. Mullins, who in turn was talking with the chairmen of the New York and Chicago exchanges. So",he was a very busy man indeed.,pro,0.0,F,T,T,False
12,168.0,315014.0,LIST2,"[""Hailey"",""her daughter""]",Contrast,varied,19.0,177.0,free,"Hailey told her daughter what to ask for. However,",she forgot to close the door.,pro,0.0,T,T,T,True
13,182.0,8772899.0,LIST5,"[""Jack"",""another man""]",Result,varied,21.0,113.0,free,"Jack said to another man, ""Follow me!"" Therefore,",he followed him,pro,0.0,F,F,F,True
