,subject_id,condition,text,referents,prompt,relation,connective,itemID,stimulusID,annotated_nm,response,pronominalization,Annotator1
5130,10526983,LIST4,Hailey told her daughter what to ask for. So,"[""Hailey"",""her daughter""]",bare,Result,original,19,179,1,she did it,pro,T
3158,13925376,LIST3,Joseph served Nicolas for three years. Then,"[""Joseph"",""Nicolas""]",bare,Narration,original,6,49,0,He found new employment and moved away.,pro,T
2332,7217742,LIST3,"Adam refused to stop chasing Leo. Shortly afterwards,","[""Adam"",""Leo""]",bare,Narration,varied,11,157,0,He punched him,pro,T
5164,16271598,LIST2,David was moving as quickly as possible to get away from Saul. So,"[""David"",""Saul""]",bare,Result,varied,15,95,0,he started running.,pro,T
360,11146272,LIST1,David had just let Leo leave in peace. But,"[""David"",""Leo""]",bare,Contrast,varied,14,94,1,Leo felt sad,non_pro,T
1260,9409789,LIST3,"The Iran-Contra judge Harold H. Greene agreed to allow Mr. Poindexter to subpoena the personal papers of ex-President Reagan, ruling that there was sufficient evidence that the data would be important to the defense. And then","[""The Iran - Contra judge Harold H. Greene"",""Mr. Poindexter""]",bare,Narration,varied,29,85,0,he closed the case.,pro,T
402,11494083,LIST3,"For balance, and in hopes of gaining some disaffected centrist votes, Mr. Papandreou managed to attract Mr. Makris, a former New Democracy Party representative and known political enemy of Mr. Mitsotakis. Thus","[""Mr. Papandreou "",""Mr. Makris""]",bare,Result,original,17,137,0,he gained their support.,pro,T
5124,9284722,LIST4,Peter criticized Jeffery for saying these things. But,"[""Peter"",""Jeffery""]",bare,Contrast,original,26,117,1,Jeffery didnt care.,non_pro,T
1526,6739326,LIST5,Joseph served Nicolas for three years. But,"[""Joseph"",""Nicolas""]",bare,Contrast,varied,6,51,0,he was tired of it,pro,T
3208,12129454,LIST1,David had just let Leo leave in peace. But,"[""David"",""Leo""]",bare,Contrast,varied,14,94,0,he was sorry he did,pro,T
